title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 6.8 - 76 km ESE of Kalemie, Democratic Republic of the Congo",6.8,12/5/05 12:19,5,7,green,0,744,us,561,0,20,mwc,22,-6.224,29.83,"Kalemie, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo (DRC),2005,12,Yellow,7-Jun
"M 6.5 - 80 km ESE of Ishinomaki, Japan",6.5,12/2/05 13:13,4,5,green,0,683,us,464,0,48.8,mwc,29,38.089,142.122,"Ishinomaki, Japan",Asia,Japan,2005,12,Yellow,7-Jun
"M 6.5 - 57 km SE of Sinabang, Indonesia",6.5,11/19/05 14:10,3,6,green,0,651,us,358,0,20.7,mwb,21,2.164,96.786,"Sinabang, Indonesia",Asia,Indonesia,2005,11,Yellow,7-Jun
"M 6.8 - 68 km NNE of San Pedro de Atacama, Chile",6.8,11/17/05 19:26,0,6,green,0,711,us,509,0,30.1,mwb,147,-22.361,-67.895,"San Pedro de Atacama, Chile",South America,Bolivia,2005,11,Yellow,7-Jun
"M 7.6 - 21 km NNE of Muzaffar?b?d, Pakistan",7.6,10/8/05 3:50,9,9,yellow,0,1267,us,724,0,21.1,mwc,26,34.539,73.588,"Muzaffar?b?d, Pakistan",Asia,Pakistan,2005,10,Orange,8-Jul
"M 6.6 - 129 km SSW of Kokopo, Papua New Guinea",6.6,9/29/05 15:50,0,6,green,0,670,us,402,0,17.7,mwc,25,-5.437,151.84,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2005,9,Yellow,7-Jun
"M 7.5 - 39 km NW of Yurimaguas, Peru",7.5,9/26/05 1:55,8,7,yellow,0,1018,us,696,0,26.2,mwb,115,-5.678,-76.398,"Yurimaguas, Peru",South America,Peru,2005,9,Orange,8-Jul
"M 7.6 - 135 km E of Kokopo, Papua New Guinea",7.6,9/9/05 7:26,5,7,green,0,891,us,502,0,20,mwc,90,-4.539,153.474,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2005,9,Orange,8-Jul
"M 7.2 - 66 km ESE of Ishinomaki, Japan",7.2,8/16/05 2:46,7,7,yellow,0,1104,us,698,0,19.6,mwc,36,38.276,142.039,"Ishinomaki, Japan",Asia,Japan,2005,8,Orange,8-Jul
"M 7.2 - Nicobar Islands, India region",7.2,7/24/05 15:42,4,5,green,0,808,us,636,0,26.4,mwc,16,7.92,92.19,"Nicobar Islands, India region",Asia,India,2005,7,Orange,8-Jul
"M 6.7 - 94 km WSW of Singkil, Indonesia",6.7,7/5/05 1:52,3,6,green,0,693,us,398,0,22.3,mwc,21,1.819,97.082,"Singkil, Indonesia",Asia,Indonesia,2005,7,Yellow,7-Jun
"M 6.6 - 32 km W of San Juan del Sur, Nicaragua",6.6,7/2/05 2:16,6,5,green,0,719,us,446,0,21.1,mwc,27,11.245,-86.172,"San Juan del Sur, Nicaragua",North America,Nicaragua,2005,7,Yellow,7-Jun
