title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 6.5 - 33 km S of Puerto San José, Guatemala",6.5,1/21/03 2:46,0,6,green,0,650,us,316,0,0,mwc,24,13.626,-90.774,"Puerto San José, Guatemala",North America,Guatemala,2003,1,Yellow,7-Jun
"M 7.3 - 126 km W of Kirakira, Solomon Islands",7.3,1/20/03 8:43,0,6,green,0,820,us,457,0,0,mwc,33,-10.491,160.77,"Kirakira, Solomon Islands",Oceania,Solomon Islands,2003,1,Orange,8-Jul
"M 6.7 - 191 km SE of Kokopo, Papua New Guinea",6.7,1/10/03 13:11,0,5,green,0,691,us,323,0,0,mwb,71.9,-5.311,153.701,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2003,1,Yellow,7-Jun
"M 6.7 - New Ireland region, Papua New Guinea",6.7,12/12/02 8:30,0,6,green,0,691,us,453,0,0,mwb,34,-4.786,153.275,"New Ireland region, Papua New Guinea",Oceania,Papua New Guinea,2002,12,Yellow,7-Jun
"M 7.9 - 75 km E of Cantwell, Alaska",7.9,11/3/02 22:12,8,9,orange,0,1750,ak,0,0,0,mw,4.2,63.5141,-147.453,"Cantwell, Alaska",North America,United States of America,2002,11,Orange,8-Jul
"M 7.4 - 50 km NW of Sinabang, Indonesia",7.4,11/2/02 1:26,0,7,green,0,842,us,418,0,0,mwb,30,2.824,96.085,"Sinabang, Indonesia",Asia,Indonesia,2002,11,Orange,8-Jul
"M 6.6 - 53 km ENE of Cantwell, Alaska",6.6,10/23/02 11:27,0,7,green,0,670,ak,0,0,0,mw,4.2,63.5144,-147.912,"Cantwell, Alaska",North America,United States of America,2002,10,Yellow,7-Jun
"M 6.7 - 72 km S of Manokwari, Indonesia",6.7,10/10/02 12:28,0,7,green,0,691,us,250,0,0,ms,10,-1.511,133.973,"Manokwari, Indonesia",Asia,Indonesia,2002,10,Yellow,7-Jun
"M 7.6 - 102 km SSE of Manokwari, Indonesia",7.6,10/10/02 10:50,0,7,green,0,889,us,375,0,0,mwc,10,-1.757,134.297,"Manokwari, Indonesia",Asia,Indonesia,2002,10,Orange,8-Jul
"M 6.5 - 152 km NNE of Bamboo Flat, India",6.5,9/13/02 22:28,0,6,green,0,650,us,646,0,0,mwc,21,13.036,93.068,"Bamboo Flat, India",Asia,India,2002,9,Yellow,7-Jun
"M 7.6 - 68 km ESE of Aitape, Papua New Guinea",7.6,9/8/02 18:44,0,7,green,0,889,us,428,0,0,mwc,13,-3.302,142.945,"Aitape, Papua New Guinea",Oceania,Papua New Guinea,2002,9,Orange,8-Jul
"M 6.5 - 114 km SSE of San Jose Village, Northern Mariana Islands",6.5,8/14/02 13:57,0,4,green,0,650,us,260,0,0,mwc,30,14.101,146.199,"San Jose Village, Northern Mariana Islands",Oceania,Northern Mariana Islands,2002,8,Yellow,7-Jun
"M 6.5 - 14 km SE of Punta de Burica, Panama",6.5,7/31/02 0:16,0,7,green,0,650,us,533,0,0,mwc,10,7.929,-82.793,"Punta de Burica, Panama",North America,Panama,2002,7,Yellow,7-Jun
"M 6.5 - 59 km SSW of Abhar, Iran",6.5,6/22/02 2:58,0,8,green,0,650,us,555,0,0,mwc,10,35.626,49.047,"Abhar, Iran",Asia,Iran,2002,6,Yellow,7-Jun
"M 6.6 - 20 km SW of Monte Patria, Chile",6.6,6/18/02 13:56,0,7,green,0,670,us,420,0,0,mwb,54,-30.805,-71.124,"Monte Patria, Chile",South America,Chile,2002,6,Yellow,7-Jun
"M 6.7 - 190 km NW of Sola, Vanuatu",6.7,6/17/02 21:26,0,5,green,0,691,us,272,0,0,mwc,33,-12.592,166.383,"Sola, Vanuatu",Oceania,Vanuatu,2002,6,Yellow,7-Jun
"M 7.1 - 20 km SSW of Merizo Village, Guam",7.1,4/26/02 16:06,0,7,green,0,776,us,257,0,0,mwc,85.7,13.088,144.619,"Merizo Village, Guam",North America,United States of America,2002,4,Orange,8-Jul
"M 6.7 - 31 km SW of Copiapó, Chile",6.7,4/18/02 16:08,0,7,green,0,691,us,462,0,0,mwb,62,-27.535,-70.586,"Copiapó, Chile",South America,Chile,2002,4,Yellow,7-Jun
"M 6.8 - 27 km SSW of Nuxco, Mexico",6.8,4/18/02 5:02,0,6,green,0,711,us,292,0,0,mwc,24.9,16.985,-100.865,"Nuxco, Mexico",North America,Mexico,2002,4,Yellow,7-Jun
"M 7.1 - 67 km ENE of Hualien City, Taiwan",7.1,3/31/02 6:52,0,6,green,0,776,us,550,0,0,mwc,32.8,24.279,122.179,"Hualien City, Taiwan",Asia,Taiwan,2002,3,Orange,8-Jul
"M 6.5 - 107 km NE of Calama, Chile",6.5,3/28/02 4:56,0,5,green,0,650,us,486,0,0,mwc,125.1,-21.663,-68.329,"Calama, Chile",South America,Chile,2002,3,Yellow,7-Jun
"M 7.5 - Mindanao, Philippines",7.5,3/5/02 21:16,0,7,green,0,865,us,321,0,0,mwc,31,6.033,124.249,"Mindanao, Philippines",Asia,Philippines,2002,3,Orange,8-Jul
"M 7.4 - 51 km SW of Jurm, Afghanistan",7.4,3/3/02 12:08,0,5,green,0,842,us,138,0,0,mwc,225.6,36.502,70.482,"Jurm, Afghanistan",Asia,Afghanistan,2002,3,Orange,8-Jul
"M 6.6 - 125 km E of Kimbe, Papua New Guinea",6.6,2/5/02 13:27,0,6,green,0,670,us,444,0,0,mwc,39,-5.345,151.248,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,2002,2,Yellow,7-Jun
"M 6.5 - 5 km NE of Sultanda??, Turkey",6.5,2/3/02 7:11,0,7,green,0,650,us,482,0,0,mwc,5,38.573,31.271,"Sultanda??, Turkey",Asia,Turkey,2002,2,Yellow,7-Jun
"M 6.7 - 11 km SE of Aitape, Papua New Guinea",6.7,1/10/02 11:14,0,8,green,0,691,us,333,0,0,mwc,11,-3.212,142.427,"Aitape, Papua New Guinea",Oceania,Papua New Guinea,2002,1,Yellow,7-Jun
"M 6.6 - 33 km WNW of Port-Vila, Vanuatu",6.6,1/3/02 10:17,0,6,green,0,670,us,386,0,0,mwc,10,-17.664,168.004,"Port-Vila, Vanuatu",Oceania,Vanuatu,2002,1,Yellow,7-Jun
"M 7.2 - 50 km WNW of Port-Vila, Vanuatu",7.2,1/2/02 17:22,0,6,green,0,798,us,427,0,0,mwc,21,-17.6,167.856,"Port-Vila, Vanuatu",Oceania,Vanuatu,2002,1,Orange,8-Jul
"M 6.8 - 22 km WNW of Malango, Solomon Islands",6.8,12/23/01 22:52,0,7,green,0,711,us,385,0,0,mwc,16,-9.613,159.53,"Malango, Solomon Islands",Oceania,Solomon Islands,2001,12,Yellow,7-Jun
"M 6.8 - 62 km SSW of Yonakuni, Japan",6.8,12/18/01 4:02,0,5,green,0,711,us,499,0,0,mwc,14,23.954,122.734,"Yonakuni, Japan",Asia,Japan,2001,12,Yellow,7-Jun
"M 6.5 - 3 km NW of Hanamaki, Japan",6.5,12/2/01 13:01,0,5,green,0,650,us,605,0,0,mwc,123.8,39.402,141.089,"Hanamaki, Japan",Asia,Japan,2001,12,Yellow,7-Jun
"M 7.8 - Southern Qinghai, China",7.8,11/14/01 9:26,0,9,green,0,936,us,368,0,0,mwc,10,35.946,90.541,"Southern Qinghai, China",Asia,People's Republic of China,2001,11,Orange,8-Jul
"M 7.0 - 40 km S of Kimbe, Papua New Guinea",7,10/31/01 9:10,0,7,green,0,754,us,254,0,0,mwc,33,-5.912,150.196,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,2001,10,Orange,8-Jul
"M 7.5 - 155 km E of Kendari, Indonesia",7.5,10/19/01 3:28,0,6,green,0,865,us,234,0,0,mwc,33,-4.102,123.907,"Kendari, Indonesia",Asia,Indonesia,2001,10,Orange,8-Jul
"M 7.0 - 69 km SSE of Inarajan Village, Guam",7,10/12/01 15:02,0,6,green,0,754,us,482,0,0,mwc,37,12.686,144.98,"Inarajan Village, Guam",Oceania,Guam,2001,10,Orange,8-Jul
"M 6.5 - 108 km WNW of Manokwari, Indonesia",6.5,9/11/01 14:56,0,6,green,0,650,us,174,0,0,mwc,33,-0.578,133.13,"Manokwari, Indonesia",Asia,Indonesia,2001,9,Yellow,7-Jun
"M 6.6 - 74 km S of Kokhanok, Alaska",6.6,7/28/01 7:32,6,6,green,0,754,ak,0,0,0,mw,131.8,58.775,-154.701,"Kokhanok, Alaska",North America,United States of America,2001,7,Yellow,7-Jun
"M 6.5 - 32 km WNW of Skýros, Greece",6.5,7/26/01 0:21,0,8,green,0,650,us,483,0,0,mwc,10,39.059,24.244,"Skýros, Greece",Europe,Greece,2001,7,Yellow,7-Jun
"M 7.6 - 51 km SW of Punta de Bombón, Peru",7.6,7/7/01 9:38,0,7,green,0,889,us,398,0,0,mwc,33,-17.543,-72.077,"Punta de Bombón, Peru",South America,Peru,2001,7,Orange,8-Jul
"M 6.6 - 31 km S of Achanizo, Peru",6.6,7/5/01 13:53,0,7,green,0,670,us,324,0,0,mwc,62,-16.086,-73.987,"Achanizo, Peru",South America,Peru,2001,7,Yellow,7-Jun
"M 6.7 - 34 km WSW of Pacocha, Peru",6.7,6/26/01 4:18,0,6,green,0,691,us,422,0,0,mwc,24,-17.745,-71.649,"Pacocha, Peru",South America,Peru,2001,6,Yellow,7-Jun
"M 8.4 - 6 km SSW of Atico, Peru",8.4,6/23/01 20:33,0,8,green,0,1086,official,518,0,0,mww,33,-16.265,-73.641,"Atico, Peru",South America,Peru,2001,6,Red,9-Aug
"M 6.7 - 128 km SSE of Panguna, Papua New Guinea",6.7,4/19/01 21:43,0,6,green,0,691,us,282,0,0,mwc,17,-7.41,155.865,"Panguna, Papua New Guinea",Oceania,Solomon Islands,2001,4,Yellow,7-Jun
"M 6.8 - 16 km SSW of Kure, Japan",6.8,3/24/01 6:27,0,7,green,0,711,us,596,0,0,mwc,50,34.083,132.526,"Kure, Japan",Asia,Japan,2001,3,Yellow,7-Jun
"M 6.5 - 41 km SSW of Ambon, Indonesia",6.5,3/19/01 5:52,0,6,green,0,650,us,206,0,0,mwc,33,-4.029,128.02,"Ambon, Indonesia",Asia,Indonesia,2001,3,Yellow,7-Jun
"M 6.8 - 7 km SSE of Longbranch, Washington",6.8,2/28/01 18:54,7,7,green,0,1441,uw,67,0,31,md,51.798,47.149,-122.727,"Longbranch, Washington",North America,United States of America,2001,2,Yellow,7-Jun
"M 7.1 - 137 km WNW of Ternate, Indonesia",7.1,2/24/01 7:23,0,7,green,0,776,us,426,0,0,mwc,35,1.271,126.249,"Ternate, Indonesia",Asia,Indonesia,2001,2,Orange,8-Jul
"M 7.4 - 102 km SSE of Bengkulu, Indonesia",7.4,2/13/01 19:28,0,6,green,0,842,us,221,0,0,mwc,36,-4.68,102.562,"Bengkulu, Indonesia",Asia,Indonesia,2001,2,Orange,8-Jul
"M 6.6 - 5 km S of Cojutepeque, El Salvador",6.6,2/13/01 14:22,0,8,green,0,670,us,273,0,0,mwc,10,13.671,-88.938,"Cojutepeque, El Salvador",North America,El Salvador,2001,2,Yellow,7-Jun
"M 7.7 - 17 km NW of Bhach?u, India",7.7,1/26/01 3:16,0,9,green,0,912,us,472,0,0,mwc,16,23.419,70.232,"Bhach?u, India",Asia,India,2001,1,Orange,8-Jul
"M 6.9 - 59 km WSW of Bengkulu, Indonesia",6.9,1/16/01 13:25,0,6,green,0,732,us,117,0,0,mwb,28,-4.022,101.776,"Bengkulu, Indonesia",Asia,Indonesia,2001,1,Yellow,7-Jun
"M 7.7 - 28 km SSW of Puerto El Triunfo, El Salvador",7.7,1/13/01 17:33,0,8,green,0,912,us,427,0,0,mwc,60,13.049,-88.66,"Puerto El Triunfo, El Salvador",North America,El Salvador,2001,1,Orange,8-Jul
"M 6.9 - 47 km S of Old Harbor, Alaska",6.9,1/10/01 16:02,5,7,green,0,745,ak,0,0,0,mw,36.4,56.7744,-153.281,"Old Harbor, Alaska",North America,United States of America,2001,1,Yellow,7-Jun
"M 7.1 - 16 km NE of Port-Olry, Vanuatu",7.1,1/9/01 16:49,0,7,green,0,776,us,372,0,0,mwb,103,-14.928,167.17,"Port-Olry, Vanuatu",Oceania,Vanuatu,2001,1,Orange,8-Jul
"M 6.8 - Mindanao, Philippines",6.8,1/1/01 8:54,0,5,green,0,711,us,64,0,0,mwc,33,6.631,126.899,"Mindanao, Philippines",Asia,Philippines,2001,1,Yellow,7-Jun
"M 7.5 - 21 km SE of Lukatan, Philippines",7.5,1/1/01 6:57,0,7,green,0,865,us,324,0,0,mwc,33,6.898,126.579,"Lukatan, Philippines",Asia,Philippines,2001,1,Orange,8-Jul
"M 6.5 - 52 km ENE of Kokopo, Papua New Guinea",6.5,12/6/00 22:57,0,7,green,0,650,us,401,0,0,mwc,31,-4.218,152.725,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,12,Yellow,7-Jun
"M 7.0 - 37 km E of Balkanabat, Turkmenistan",7,12/6/00 17:11,0,7,green,0,754,us,495,0,0,mwc,30,39.566,54.799,"Balkanabat, Turkmenistan",Asia,Turkmenistan,2000,12,Orange,8-Jul
"M 6.5 - 23 km SSE of Badamdar, Azerbaijan",6.5,11/25/00 18:10,0,6,green,0,650,us,268,0,0,mwc,33,40.167,49.954,"Badamdar, Azerbaijan",Asia,Azerbaijan,2000,11,Yellow,7-Jun
"M 6.8 - 15 km SSE of Baku, Azerbaijan",6.8,11/25/00 18:09,0,6,green,0,711,us,446,0,0,mwc,50.4,40.245,49.946,"Baku, Azerbaijan",Asia,Azerbaijan,2000,11,Yellow,7-Jun
"M 6.8 - 112 km SSW of Kokopo, Papua New Guinea",6.8,11/18/00 6:54,0,6,green,0,711,us,402,0,0,mwb,33,-5.228,151.771,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Yellow,7-Jun
"M 6.6 - 131 km SE of Kokopo, Papua New Guinea",6.6,11/18/00 2:05,0,6,green,0,670,us,267,0,0,mwc,33,-5.097,153.181,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Yellow,7-Jun
"M 7.8 - 138 km SSW of Kokopo, Papua New Guinea",7.8,11/17/00 21:01,0,7,green,0,936,us,346,0,0,mwc,33,-5.496,151.781,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Orange,8-Jul
"M 6.5 - 118 km ESE of Kokopo, Papua New Guinea",6.5,11/16/00 7:45,0,6,green,0,650,us,71,0,0,mb,33,-4.827,153.226,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Yellow,7-Jun
"M 7.8 - 135 km SE of Kokopo, Papua New Guinea",7.8,11/16/00 7:42,0,7,green,0,936,us,294,0,0,mwc,30,-5.233,153.102,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Orange,8-Jul
"M 8.0 - 24 km N of Rabaul, Papua New Guinea",8,11/16/00 4:54,0,7,green,0,985,us,254,0,0,mwc,33,-3.98,152.169,"Rabaul, Papua New Guinea",Oceania,Papua New Guinea,2000,11,Red,9-Aug
"M 6.5 - 10 km SW of Juradó, Colombia",6.5,11/8/00 6:59,0,7,green,0,650,us,462,0,0,mwc,17,7.042,-77.829,"Juradó, Colombia",South America,Colombia,2000,11,Yellow,7-Jun
"M 7.0 - 191 km ESE of Kokopo, Papua New Guinea",7,10/29/00 8:37,0,7,green,0,754,us,60,0,0,mwc,50,-4.766,153.945,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,2000,10,Orange,8-Jul
"M 6.8 - 29 km SW of Labuan, Indonesia",6.8,10/25/00 9:32,0,6,green,0,711,us,415,0,0,mwc,38,-6.549,105.63,"Labuan, Indonesia",Asia,Indonesia,2000,10,Yellow,7-Jun
"M 6.7 - 8 km ESE of Matsue, Japan",6.7,10/6/00 4:30,0,8,green,0,691,us,390,0,0,mwc,10,35.456,133.134,"Matsue, Japan",Asia,Japan,2000,10,Yellow,7-Jun
"M 7.0 - 29 km WNW of Luganville, Vanuatu",7,10/4/00 16:58,0,7,green,0,754,us,357,0,0,mwc,23,-15.421,166.91,"Luganville, Vanuatu",Oceania,Vanuatu,2000,10,Orange,8-Jul
"M 6.5 - 15 km W of Nkove, Tanzania",6.5,10/2/00 2:25,0,6,green,0,650,us,415,0,0,mwb,34,-7.977,30.709,"Nkove, Tanzania",Africa,Tanzania,2000,10,Yellow,7-Jun
"M 6.8 - 98 km WSW of Ambon, Indonesia",6.8,8/28/00 15:05,0,6,green,0,711,us,336,0,0,mwc,16,-4.11,127.394,"Ambon, Indonesia",Asia,Indonesia,2000,8,Yellow,7-Jun
"M 6.5 - 24 km NNW of El Habillal, Mexico",6.5,8/9/00 11:41,0,6,green,0,650,us,481,0,0,mwc,45.8,18.198,-102.48,"El Habillal, Mexico",North America,Mexico,2000,8,Yellow,7-Jun
"M 6.8 - 35 km SSE of Uglegorsk, Russia",6.8,8/4/00 21:13,0,7,green,0,711,us,593,0,0,mwc,10,48.786,142.246,"Uglegorsk, Russia",Europe,Russia,2000,8,Yellow,7-Jun
"M 6.6 - 161 km SSE of Lata, Solomon Islands",6.6,8/3/00 1:09,0,6,green,0,670,us,218,0,0,mwc,33,-12.037,166.448,"Lata, Solomon Islands",Oceania,Solomon Islands,2000,8,Yellow,7-Jun
"M 6.5 - 94 km SSE of Shimoda, Japan",6.5,7/30/00 12:25,0,7,green,0,650,us,428,0,0,mwc,10,33.901,139.376,"Shimoda, Japan",Asia,Japan,2000,7,Yellow,7-Jun
"M 6.6 - 227 km SE of Kandrian, Papua New Guinea",6.6,7/16/00 3:57,0,5,green,0,670,us,367,0,0,mwc,10,-7.747,150.917,"Kandrian, Papua New Guinea",Oceania,Papua New Guinea,2000,7,Yellow,7-Jun
"M 6.5 - 24 km SSW of Larsen Bay, Alaska",6.5,7/11/00 1:32,0,6,green,0,650,ak,0,0,0,mw,42.9,57.3546,-154.198,"Larsen Bay, Alaska",North America,United States of America,2000,7,Yellow,7-Jun
"M 6.5 - 12 km ENE of Selfoss, Iceland",6.5,6/21/00 0:51,0,9,green,0,650,us,351,0,0,mwc,10,63.98,-20.758,"Selfoss, Iceland",Europe,Iceland,2000,6,Yellow,7-Jun
M 7.9 - South Indian Ocean,7.9,6/18/00 14:44,0,5,green,0,960,us,405,0,0,mwc,10,-13.802,97.453,South Indian Ocean,Asia,India,2000,6,Orange,8-Jul
"M 6.5 - 25 km E of Selfoss, Iceland",6.5,6/17/00 15:40,0,8,green,0,650,us,406,0,0,mwc,10,63.966,-20.487,"Selfoss, Iceland",Europe,Iceland,2000,6,Yellow,7-Jun
"M 6.7 - 98 km SSW of Bengkulu, Indonesia",6.7,6/7/00 23:45,0,5,green,0,691,us,352,0,0,mwc,33,-4.612,101.905,"Bengkulu, Indonesia",Asia,Indonesia,2000,6,Yellow,7-Jun
"M 6.7 - 95 km S of Bengkulu, Indonesia",6.7,6/4/00 16:39,0,5,green,0,691,us,147,0,0,mb,33,-4.646,102.102,"Bengkulu, Indonesia",Asia,Indonesia,2000,6,Yellow,7-Jun
"M 7.9 - 103 km S of Bengkulu, Indonesia",7.9,6/4/00 16:28,0,8,green,0,960,us,379,0,0,mwc,33,-4.721,102.087,"Bengkulu, Indonesia",Asia,Indonesia,2000,6,Orange,8-Jul
"M 7.2 - 75 km N of San Antonio de los Cobres, Argentina",7.2,5/12/00 18:43,0,5,green,0,798,us,0,0,0,mwc,225,-23.548,-66.452,"San Antonio de los Cobres, Argentina",South America,Argentina,2000,5,Orange,8-Jul
"M 7.6 - 89 km E of Luwuk, Indonesia",7.6,5/4/00 4:21,0,7,green,0,889,us,0,0,0,mwc,26,-1.105,123.573,"Luwuk, Indonesia",Asia,Indonesia,2000,5,Orange,8-Jul
"M 6.6 - 62 km SSW of Ialibu, Papua New Guinea",6.6,3/3/00 22:22,0,8,green,0,670,us,0,0,0,mwc,10,-6.817,143.807,"Ialibu, Papua New Guinea",Oceania,Papua New Guinea,2000,3,Yellow,7-Jun
"M 6.6 - 87 km ESE of Kimbe, Papua New Guinea",6.6,2/6/00 11:33,0,6,green,0,670,us,0,0,0,mwc,33,-5.844,150.876,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,2000,2,Yellow,7-Jun
M 6.8 - 84 km S of Sea of Japan,6.8,1/28/00 14:21,0,6,green,0,711,us,0,0,0,mwc,61.1,43.046,146.837,"Sea of Japan, eastern coast of Hokkaido",Asia,Japan,2000,1,Yellow,7-Jun
"M 7.2 - 117 km SSW of Hihifo, Tonga",7.2,1/8/00 16:47,0,6,green,0,798,us,0,0,0,mwc,183.4,-16.925,-174.248,"Hihifo, Tonga",Oceania,Tonga,2000,1,Orange,8-Jul
"M 6.9 - 50 km WSW of Lata, Solomon Islands",6.9,12/29/99 13:29,0,6,green,0,732,us,0,0,0,mwb,33,-10.86,165.354,"Lata, Solomon Islands",Oceania,Solomon Islands,1999,12,Yellow,7-Jun
"M 6.5 - 59 km SSW of Labuan, Indonesia",6.5,12/21/99 14:14,0,6,green,0,650,us,0,0,0,mwb,56,-6.845,105.555,"Labuan, Indonesia",Asia,Indonesia,1999,12,Yellow,7-Jun
"M 7.3 - 14 km WNW of Bolitoc, Philippines",7.3,12/11/99 18:03,0,7,green,0,820,us,0,0,0,mwc,33,15.766,119.74,"Bolitoc, Philippines",Asia,Philippines,1999,12,Orange,8-Jul
"M 7.0 - 26 km SSE of Karluk, Alaska",7,12/6/99 23:12,0,7,green,0,754,ak,0,0,0,mw,43.6,57.3424,-154.347,"Karluk, Alaska",North America,United States of America,1999,12,Orange,8-Jul
"M 6.6 - 127 km ESE of Arica, Chile",6.6,11/30/99 4:01,0,5,green,0,670,us,0,0,0,mwb,128.1,-18.901,-69.171,"Arica, Chile",South America,Chile,1999,11,Yellow,7-Jun
"M 7.5 - 92 km ESE of Lakatoro, Vanuatu",7.5,11/26/99 13:21,0,7,green,0,865,us,0,0,0,mwc,33,-16.423,168.214,"Lakatoro, Vanuatu",Oceania,Vanuatu,1999,11,Orange,8-Jul
"M 7.0 - 88 km W of Kandrian, Papua New Guinea",7,11/19/99 13:56,0,6,green,0,754,us,0,0,0,mwc,33,-6.351,148.763,"Kandrian, Papua New Guinea",Oceania,Papua New Guinea,1999,11,Orange,8-Jul
"M 6.9 - 84 km WNW of Kandrian, Papua New Guinea",6.9,11/17/99 3:27,0,6,green,0,732,us,0,0,0,mwc,47.5,-5.978,148.82,"Kandrian, Papua New Guinea",Oceania,Papua New Guinea,1999,11,Yellow,7-Jun
"M 7.2 - 8 km S of Düzce, Turkey",7.2,11/12/99 16:57,0,9,green,0,798,us,0,0,0,mwc,10,40.758,31.161,"Düzce, Turkey",Asia,Turkey,1999,11,Orange,8-Jul
"M 6.5 - 31 km SW of Ashk?sham, Afghanistan",6.5,11/8/99 16:45,0,4,green,0,650,us,0,0,0,mwc,228.4,36.522,71.24,"Ashk?sham, Afghanistan",Asia,Afghanistan,1999,11,Yellow,7-Jun
"M 7.1 - Hector Mine, CA Earthquake",7.1,10/16/99 9:46,8,8,yellow,0,1576,ci,73,0,57,mw,13.73,34.6033,-116.265,"Hector Mine, CA Earthquake",North America,United States of America,1999,10,Orange,8-Jul
"M 7.5 - 15 km W of San Baltazar Loxicha, Mexico",7.5,9/30/99 16:31,0,8,green,0,865,us,0,0,0,mwc,60.6,16.059,-96.931,"San Baltazar Loxicha, Mexico",North America,Mexico,1999,9,Orange,8-Jul
"M 6.5 - 31 km SE of Puli, Taiwan",6.5,9/25/99 23:52,0,7,green,0,650,us,0,0,0,mwc,17,23.738,121.158,"Puli, Taiwan",Asia,Taiwan,1999,9,Yellow,7-Jun
"M 7.7 - 21 km S of Puli, Taiwan",7.7,9/20/99 17:47,0,9,green,0,912,us,0,0,0,mwc,33,23.772,120.982,"Puli, Taiwan",Asia,Taiwan,1999,9,Orange,8-Jul
"M 6.6 - 66 km E of Lakatoro, Vanuatu",6.6,8/22/99 12:40,0,6,green,0,670,us,0,0,0,mwc,33,-16.117,168.039,"Lakatoro, Vanuatu",Oceania,Vanuatu,1999,8,Yellow,7-Jun
"M 6.9 - 42 km S of Quepos, Costa Rica",6.9,8/20/99 10:02,0,6,green,0,732,us,0,0,0,mwc,20,9.044,-84.159,"Quepos, Costa Rica",North America,Costa Rica,1999,8,Yellow,7-Jun
"M 7.6 - 4 km ESE of Derince, Turkey",7.6,8/17/99 0:01,0,9,green,0,889,us,0,0,0,mwc,17,40.748,29.864,"Derince, Turkey",Asia,Turkey,1999,8,Orange,8-Jul
"M 6.7 - 16 km N of Potrerillos, Honduras",6.7,7/11/99 14:14,0,8,green,0,691,us,0,0,0,mwc,10,15.782,-88.33,"Potrerillos, Honduras",North America,Guatemala,1999,7,Yellow,7-Jun
"M 7.0 - 1 km SE of Texcala, Mexico",7,6/15/99 20:42,0,7,green,0,754,us,0,0,0,mwc,70,18.386,-97.436,"Texcala, Mexico",North America,Mexico,1999,6,Orange,8-Jul
"M 6.6 - 113 km SE of Kokopo, Papua New Guinea",6.6,5/17/99 10:07,0,5,green,0,670,us,0,0,0,mwc,27,-5.165,152.877,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,1999,5,Yellow,7-Jun
"M 7.1 - 51 km SSE of Kokopo, Papua New Guinea",7.1,5/16/99 0:51,0,7,green,0,776,us,0,0,0,mwc,73.7,-4.751,152.486,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,1999,5,Orange,8-Jul
"M 7.1 - 92 km ENE of Kimbe, Papua New Guinea",7.1,5/10/99 20:33,0,7,green,0,776,us,0,0,0,mwb,138,-5.159,150.88,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,1999,5,Orange,8-Jul
"M 6.8 - 132 km WSW of Haveluloto, Tonga",6.8,4/13/99 10:38,0,5,green,0,711,us,0,0,0,mwc,164.2,-21.422,-176.46,"Haveluloto, Tonga",Oceania,Tonga,1999,4,Yellow,7-Jun
"M 7.4 - 63 km W of Kimbe, Papua New Guinea",7.4,4/5/99 11:08,0,7,green,0,842,us,0,0,0,mwc,150,-5.591,149.568,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,1999,4,Orange,8-Jul
"M 6.8 - 6 km SE of Camaná, Peru",6.8,4/3/99 6:17,0,7,green,0,711,us,0,0,0,mwc,87.2,-16.66,-72.662,"Camaná, Peru",South America,Peru,1999,4,Yellow,7-Jun
"M 6.6 - 9 km NNW of P?palkoti, India",6.6,3/28/99 19:05,0,7,green,0,670,us,0,0,0,mwb,15,30.512,79.403,"P?palkoti, India",Asia,India,1999,3,Yellow,7-Jun
"M 6.9 - 78 km WSW of Adak, Alaska",6.9,3/20/99 10:47,0,6,green,0,732,us,0,0,0,mwc,33,51.587,-177.668,"Adak, Alaska",North America,United States of America,1999,3,Yellow,7-Jun
"M 6.9 - 123 km SE of Vilyuchinsk, Russia",6.9,3/8/99 12:25,0,5,green,0,732,us,0,0,0,mwc,56.6,52.056,159.52,"Vilyuchinsk, Russia",Europe,Russia,1999,3,Yellow,7-Jun
"M 7.1 - 69 km S of Tabiauan, Philippines",7.1,3/4/99 8:52,0,6,green,0,776,us,0,0,0,mwc,33,5.397,121.937,"Tabiauan, Philippines",Asia,Philippines,1999,3,Orange,8-Jul
"M 6.6 - 110 km SSE of K?h Sef?d, Iran",6.6,3/4/99 5:38,0,7,green,0,670,us,0,0,0,mwc,33,28.343,57.193,"K?h Sef?d, Iran",Asia,Iran,1999,3,Yellow,7-Jun
"M 7.3 - 146 km NW of Sola, Vanuatu",7.3,2/6/99 21:47,0,7,green,0,820,us,0,0,0,mwc,90.1,-12.853,166.697,"Sola, Vanuatu",Oceania,Vanuatu,1999,2,Orange,8-Jul
